site,mae,mse,r2
970,162.2130110779467,80484.51125247909,0.766092085908743
2000,153.0286191617519,84615.15731014195,0.5384870039563124
2200,77.28062230698215,20919.851293658525,0.7672886832171231
2820,74.46643144597941,19166.24799136058,0.8141225200000369
2825,34.40219366407594,3861.86772432611,0.9043362658304025
2827,145.17954053025701,65105.20460918116,0.7668432713224429
2846,93.78690358123204,27808.631607479292,0.7163396714703953
3001,146.60062974503964,78810.22323769618,0.6725213279308725
3002,157.5546256668741,74850.57776396695,0.6752752149216843
3120,92.37112705880423,26789.333295690718,0.6956416143032547
3122,108.67029784335276,35490.85007655251,0.7571841601485587
3126,97.9549661577618,30222.685250509145,0.7886563581871743
3127,101.24379074560133,34772.221053746944,0.772744046013518
3180,58.2162768375967,12990.073627064809,0.841255001299887
3662,117.77994025526552,46045.80241922875,0.7665072836011068
3682,108.54919023845798,39490.898894726866,0.8032628776564936
3685,405.15417043895235,445983.9356265397,-0.3217939497774554
3804,113.4705557621383,41442.61393095612,0.8216674504714301
3812,139.03890364626756,68923.57309956949,0.7043065227091805
4030,61.39427452866358,13183.992960329178,0.8222728225718212
4032,117.73870921681693,43073.88909505907,0.7846790364575671
4034,118.84020562874424,41184.870839374584,0.7726913542169176
4035,98.52837607197728,30359.464717391904,0.7744936118385162
4040,86.85022372885398,23234.65089902506,0.7650271630457801
4043,120.54406906996397,46320.46601479748,0.6183446000417292
4051,46.585325610411395,6149.265790942091,0.9089325710424795
4057,110.00769984688377,42361.41868780827,0.7274102957120081
4063,84.70282959311135,23000.174186501346,0.7635536327238972
4262,54.340831085990075,8465.728155815672,0.8213582447696979
4263,119.68640797840109,48859.84123165822,0.6356929120895035
4264,111.10630660532213,41403.34407410524,0.6075611310018127
4266,91.08533541369908,27346.5130190983,0.7964261117731595
4270,76.71395915281441,18252.302888652423,0.7271449215054699
4272,69.95139626899174,15687.302139468988,0.8064411245943643
4273,57.76951112550819,11743.510950874497,0.8265189535809725
4321,87.52488932946066,26316.27282355931,0.7264612485734602
4324,57.57811673146259,10126.73666978375,0.8507756011433472
4335,63.072462948891825,15714.431045871197,0.8321774097402495
4812,105.0519590941408,36471.60122427252,0.740777048561861
4821,86.83234636920511,24178.74902251348,0.8085645913508834
