site,mae,mse,r2
970,184.26688200938295,120303.25709812896,0.7210231604201045
2000,185.9954109725212,122036.06001013656,0.4962201289440376
2200,118.9354650776066,58744.11942063614,0.6969795468985032
2820,119.25157352034991,66049.37647423297,0.620074761216319
2825,57.0088781396197,13598.340233859391,0.8299663282985142
2827,150.04668713699385,77530.62817151542,0.7342843392296761
2846,98.16081910889645,45602.014127447655,0.7134260525076848
3001,164.25192576121475,100009.42473401701,0.6494416860816485
3002,175.16628258934935,148569.42078144578,0.49404446355260456
3120,109.27245050733404,41674.44098816613,0.6159470694423392
3122,108.11681843924849,43518.91059215997,0.7645921978430291
3126,92.44380717082446,30344.626444299818,0.7947073968799387
3127,165.40810610900834,144836.35991185048,0.5592265490981849
3180,84.54311161344029,32276.20917253647,0.7741632670447081
3662,145.6172783266679,70814.85532883332,0.6274843753373254
3682,156.39010343551345,90672.01142416862,0.6935991472705423
3685,601.009013950458,906474.5626408068,-1.4422274360820613
3804,123.22479138732497,72492.82922673556,0.7598673283579765
3812,137.07961818900355,75944.61345171761,0.6952122590762452
4030,76.6543150058677,18578.054147787123,0.7643959113318967
4032,140.99766883424033,76388.522074242,0.7141078656041276
4034,146.60479244167635,78033.38510770301,0.6748043445350917
4035,104.54875928533467,39224.047355868985,0.7567916431719848
4040,115.03589741144053,43758.61187810968,0.6582843666295485
4043,128.7177839747811,54609.235937327445,0.6370007307032499
4051,40.868703532960986,5876.229663569568,0.9130034936661074
4057,114.87669990309777,61055.445055921744,0.7130596892893534
4063,85.092737912412,31906.375617630238,0.728881246982692
4262,53.580944216317235,9178.457093682253,0.8191004153357504
4263,182.3202590206708,119440.43780058784,0.505771940037495
4264,155.40822742871254,69362.25681460828,0.6052069229349202
4266,135.19693791547792,65461.10141315168,0.7687768094474047
4270,103.63620384370257,37349.24794231285,0.7118361711198308
4272,92.27355941766092,30673.080450571833,0.7550878578016005
4273,75.83989224694237,23505.6920036286,0.8033639772573561
4321,164.13592000159068,103681.57288987438,0.47626496138879476
4324,60.230642658585076,13707.793236390233,0.8359208562597529
4335,78.59236363628226,24142.152607173895,0.8047844419725549
4812,97.72793377608991,38881.06273038251,0.7323103085631607
4821,108.56690557804839,44659.58005161327,0.7130854954593704
