Actual Flow,Predicted Flow,Actual Speed,Predicted Speed
251.88908085694538,154.98056,61.34363526142923,62.018566
147.24844505874222,78.23941,62.452020294335334,63.017494
128.22287491361436,67.02584,62.648578525924,62.791916
103.48963372494818,65.3224,62.90195134080391,62.918262
130.12543192812717,103.254395,62.62898817418728,62.4221
361.2861091914305,218.99237,60.13032753376591,60.757828
1072.842432619212,1129.1274,49.83760331340571,50.181206
2160.153766413269,2416.9607,55.79195755923666,56.691387
2405.5836212854183,2441.3713,55.79195755923666,56.242256
1906.162404975812,2055.7065,55.79195755923666,56.52928
1895.6983413959917,1783.0974,55.79195755923666,56.050022
1862.4035936420178,1873.7023,55.79195755923666,56.709442
2005.095369730477,1973.5446,55.79195755923666,56.8705
1886.1855563234278,1980.7537,55.79195755923666,57.134243
1968.946786454734,2141.0056,55.79195755923666,56.978115
2029.828610919143,2331.7317,55.79195755923666,57.242546
2163.0076019350377,2288.9734,55.79195755923666,57.010757
2646.2570836212853,2398.275,55.79195755923666,56.96713
2399.8759502418798,2228.988,55.79195755923666,56.280144
1588.435383552177,1630.6155,55.79195755923666,53.086205
1184.14201796821,1241.4478,47.41190246960343,48.038315
1067.1347615756736,1125.4323,49.95057279532099,49.1073
826.4612992398064,882.80035,54.080230949379846,51.94089
464.024187975121,496.41013,58.93230705267069,57.294674
243.32757429163783,252.0892,61.436140851087146,60.783005
113.00241879751209,119.76213,62.80478447923293,62.442528
85.41534208707671,61.321564,63.085605431328055,63.193554
81.61022805805115,42.501945,63.12411056504002,63.221653
143.44333102971663,101.37707,62.49144894039993,62.302876
417.4115411195577,404.81317,59.48345281155218,58.40207
1293.5390463026952,1493.2433,44.36254206040017,53.644028
2328.5300621976503,2530.4758,55.79195755923666,57.147686
2572.0573600552866,2550.425,55.79195755923666,56.613426
2178.22805805114,2158.3242,55.79195755923666,56.88372
1868.1112646855565,1973.52,55.79195755923666,56.44904
1950.8724948168624,1976.7998,55.79195755923666,56.742573
2004.1440912232206,2014.4227,55.79195755923666,56.96775
1921.3828610919143,2062.0637,55.79195755923666,56.994694
2201.058742225294,2194.8599,55.79195755923666,57.015564
2221.9868693849344,2449.9814,55.79195755923666,57.24073
2385.606772633034,2556.8345,55.79195755923666,57.36769
2636.7442985487214,2613.3782,55.79195755923666,57.406483
2599.6444367657223,2453.5378,55.79195755923666,57.04116
1904.2598479612993,1899.294,55.79195755923666,56.54991
1408.6437456807184,1401.3494,38.46743680027443,46.043686
1353.4695922598478,1248.4908,42.06677870400336,47.036785
1011.9606081548029,1043.088,50.99859015973288,49.70169
613.3749136143746,624.91797,57.06917076920031,55.416004
328.94263994471316,308.088,60.49532185086729,60.14955
191.95853489979265,167.06879,61.98423968188589,61.80131
151.0535590877678,115.05346,62.41253262353512,62.438854
152.9561161022806,83.637115,62.39276657085066,62.688595
123.4664823773324,122.09697,62.69749133867398,62.04799
416.4602626123013,330.13013,59.49456563721432,59.433052
1270.7083621285417,1233.9634,45.0845489912477,51.568996
2291.430200414651,2521.706,55.79195755923666,57.33172
2559.690739460954,2621.713,55.79195755923666,56.563877
2133.5179682100897,2212.9963,55.79195755923666,56.77138
2056.464409122322,2060.7925,55.79195755923666,56.502773
2087.856599861783,2107.5002,55.79195755923666,56.970222
2126.859018659295,2198.2207,55.79195755923666,56.868168
1995.582584657913,2151.4082,55.79195755923666,56.85937
1973.7031789910159,2261.5166,55.79195755923666,56.73442
2223.889426399447,2306.6833,55.79195755923666,56.906837
2395.119557705598,2376.8225,55.79195755923666,56.97121
2666.23393227367,2617.9312,55.79195755923666,57.13872
2512.1268140981338,2536.4336,55.79195755923666,56.94847
1989.8749136143747,2021.7101,55.79195755923666,56.447163
1419.1078092605387,1414.0592,36.131856343959235,46.893883
1315.418451969592,1319.1477,43.60594971190412,44.6425
1089.965445749827,1140.1079,49.49298973072851,47.494343
626.6928127159641,763.5309,56.89493649673405,53.318813
308.0145127850725,416.9281,60.728615429658454,58.99281
154.85867311679337,170.17227,62.37298566212263,61.8205
126.3203178991016,114.24193,62.668154446524575,62.541477
116.80753282653765,65.91137,62.765818692978115,62.89175
120.61264685556323,93.631226,62.726795939374774,62.451008
426.92432619212167,372.24832,59.37203301878081,58.707966
1310.6620594333103,1337.8728,43.77675073915182,53.063065
2195.3510711817553,2577.369,55.79195755923666,57.531395
2608.2059433310296,2613.956,55.79195755923666,56.4541
2194.399792674499,2207.9993,55.79195755923666,56.801235
2065.0259156876295,2096.8188,55.79195755923666,56.565742
1996.5338631651691,2121.725,55.79195755923666,56.972275
2068.8310297166554,2156.699,55.79195755923666,56.876965
2092.6129923980648,2088.9517,55.79195755923666,56.79735
2013.6568762957845,2301.81,55.79195755923666,56.780434
2285.7225293711126,2348.348,55.79195755923666,56.946835
2361.824809951624,2453.7134,55.79195755923666,57.068775
2659.574982722875,2604.3103,55.79195755923666,57.174007
2614.8648928818243,2522.493,55.79195755923666,56.92301
1945.164823773324,2088.399,55.79195755923666,56.503174
1477.1357982031789,1407.6562,55.79195755923666,47.99063
1427.6693158258465,1348.0752,55.79195755923666,46.86987
1104.234623358673,1236.1144,49.19890156465016,47.95958
713.2591568762957,794.86053,55.7247936746755,52.93279
403.14236351071173,486.79333,59.64959518313021,58.23531
253.79163787145816,226.94203,61.32303243796737,61.036163
187.2021423635107,132.59943,62.03440423346279,62.3607
192.90981340704906,103.30325,61.974195112218716,62.42806
177.68935729094673,134.70514,62.134443646742426,61.926025
399.3372494816862,410.47247,59.69370244229211,58.76935
1278.318590186593,1018.1857,44.8504822387935,51.796906
