site,mae,mse,r2
970,241.09074899885388,108564.63922646729,0.9597168653133648
2000,270.4460250289352,116427.69189926836,0.9524519622593955
2200,137.7364196177158,35762.99398942664,0.9588616043321138
2820,194.9302518632677,78523.26094212779,0.7931232085167865
2825,89.31426106558905,13935.726693108241,0.9142141762487318
2827,213.78948201404677,78090.28927564491,0.9524782853098558
2846,128.4945336937413,44160.62179456707,0.9326534182877951
3001,244.35073359807333,112039.10891459197,0.8932871276463813
3002,281.59462750752766,168952.49779619975,0.8883035464285594
3120,140.79529380798346,38968.85672044371,0.9577033975408031
3122,130.5757423825562,35375.174757550354,0.9653644622585811
3126,160.51163087950812,55401.725056275296,0.9485837101068995
3127,203.8553690433502,91731.29337290283,0.9038751734788177
3180,114.2819514407052,33581.39206226035,0.9260138407942111
3662,215.62055365244547,80225.7930416987,0.9385892656707029
3682,165.85402648360642,65851.9959156288,0.9471186160351328
3685,184.40255459811954,52759.92398918063,0.8874141806823199
3804,158.3815174549818,50985.22021636491,0.9605940390380974
3812,237.62765118148593,102840.51544792631,0.9081253048887594
4030,111.82085859775543,22410.07305231982,0.9445444667638225
4032,191.22877383232117,70725.5774143142,0.9419903123002565
4034,166.30877011352115,55068.256811277824,0.9580826347300306
4035,168.83488596810236,50187.34484284281,0.9552676075823527
4040,125.43669684727986,30826.206548353748,0.9661954476708792
4043,194.47054041756525,82168.13101501587,0.9502890959060895
4051,68.01470152868166,9287.94389540034,0.9442358633808551
4057,155.30222087436252,56081.56465655172,0.9379853548495112
4063,142.41658404469484,34717.79083260398,0.9571568902015922
4262,72.07635405858358,9938.373748473557,0.9035294821606863
4263,305.16001675923667,170033.28705006992,0.8662618192845492
4264,125.02941116359499,26856.858776621622,0.9545018593572699
4266,176.13105397754245,63685.53728336021,0.953993311305004
4270,118.64469069904752,25308.093186691818,0.9678196168113289
4272,103.31689827782768,20275.588128293766,0.9538458737966101
4273,86.28688848929272,16394.857271048626,0.9573184923373919
4321,113.96319466332595,30748.82516675444,0.9470356527725071
4324,92.10168972942564,16717.1565443388,0.9500754989293573
4335,97.77017245027754,20936.872453938835,0.9458227561908212
4812,167.3305871407191,54870.42808101779,0.8832811126815125
4821,107.89374094539217,21292.018689375815,0.9703322151892182
