site,mae,mse,r2
970,383.4327402744028,236185.7213225497,0.9123627979525691
2000,378.23602111516175,228575.8935980416,0.9066516303973868
2200,257.952620483107,105823.93929851537,0.8782700607425711
2820,180.44153615501193,52665.926962377416,0.8612467457446035
2825,118.23749584290717,22472.05307129819,0.8616660884245889
2827,337.4786246418953,174946.6470569581,0.8935365110751222
2846,225.66877985662884,79886.48528920264,0.8781701549797464
3001,313.56091377470227,164266.0871949003,0.8435429720507641
3002,366.8425063451131,214825.3660914622,0.857976461771242
3120,226.89102130466037,77659.51578795614,0.9157087494246737
3122,273.78005510237483,124498.26359496106,0.8781047913674537
3126,299.99778175354004,143571.20314135044,0.8667568817844822
3127,257.58787826100985,116838.85539735388,0.8775650675680783
3180,173.49446691324314,52275.716861740555,0.8848267069108169
3662,309.22636040051776,150682.0209962221,0.8846568764388417
3682,307.2662276373969,145694.41598026513,0.8830024474450143
3685,294.83295843336316,118991.10413899395,0.7460816859070672
3804,282.18448156780664,121945.00771805631,0.9057499370750144
3812,410.8504066467285,242083.77518095262,0.7837294675230392
4030,182.5389462047153,51761.53436997594,0.8719119084124269
4032,258.4122080405553,105288.63190487056,0.9136414168900284
4034,287.86626365449695,131911.22793151496,0.8995905909394412
4035,236.73231921593347,92326.83058869785,0.9177083380381249
4040,239.97644668155246,82531.74882955482,0.9094942539314316
4043,289.2216654353672,134890.80309383836,0.9183924023472926
4051,102.63596297469404,18597.157428490216,0.8883440254108712
4057,248.9459218647745,112019.54746767512,0.8761294816100562
4063,216.998541507456,76731.53856885215,0.9053102846388822
4262,111.27221406300863,21724.189717924386,0.7891260799032088
4263,312.1308513959249,157137.31576723367,0.8764050316393003
4264,222.15873310301038,83460.94923731883,0.8586090041966943
4266,299.3930204179552,148921.4316983285,0.8924185578010624
4270,235.20788873566522,88385.75395408615,0.8876135230860558
4272,175.85319127440454,44889.741979283215,0.8978156981962822
4273,152.59274649951192,36440.97882521027,0.9051314756056019
4321,218.6143989827898,76003.01991344424,0.8690860442568706
4324,156.33205966817007,40526.625446257305,0.8789703529954451
4335,151.7828246222602,41396.28968545854,0.8928809981520158
4812,231.32728373209636,82853.98884837313,0.8237552407281838
4821,212.21881260164082,73163.18228222782,0.8980561881103266
